序号,方程ID,当前名称（效果描述）,新名称（待替换）,当前Icon,新Icon（待替换）,所属流派,等级,所需次数,效果描述
1,meteor_base,"陨石",,Sparkles,,陨石-彗星流,1,1,"每15秒向对手发射2颗陨石"
2,meteor_durability,"陨石耐久+40%",,Shield,,陨石-彗星流,2,2,"陨石耐久+40%"
3,meteor_cooldown,"陨石发射间隔-2秒",,Timer,,陨石-彗星流,2,1,"陨石发射间隔-2秒"
4,meteor_count,"陨石数量+2",,Layers,,陨石-彗星流,2,2,"陨石数量+2"
5,meteor_split,"陨石分裂",,GitBranch,,陨石-彗星流,3,1,"陨石被摧毁后会分裂"
6,meteor_row,"一排陨石",,AlignHorizontalDistributeCenter,,陨石-彗星流,3,1,"发射一排陨石"
7,meteor_comet,"灾难级彗星",,Flame,,陨石-彗星流,4,1,"发射一个灾难级彗星"
8,laser_base,"激光",,Zap,,激光-生死流,1,1,"每15秒向对手发射2道激光"
9,laser_damage,"激光伤害+50%",,Target,,激光-生死流,2,2,"激光伤害+50%"
10,laser_cooldown,"激光发射间隔-2秒",,Clock,,激光-生死流,2,2,"激光发射间隔-2秒"
11,laser_count,"激光数量+2",,Hash,,激光-生死流,2,2,"激光数量+2"
12,laser_length,"激光长度+25%",,Minus,,激光-生死流,3,2,"激光长度+25%"
13,laser_speed,"激光移动速度+25%",,Gauge,,激光-生死流,3,2,"激光移动速度+25%"
14,laser_ultimate,"贯通激光",,Crosshair,,激光-生死流,4,1,"发射两段随机下落的贯通激光"
15,missile_base,"导弹",,Rocket,,导弹-瞄准流,1,1,"每20秒向对手发射2枚导弹"
16,missile_cooldown,"导弹发射间隔-2秒",,TimerReset,,导弹-瞄准流,2,3,"导弹发射间隔-2秒"
17,missile_count,"导弹数量+2",,List,,导弹-瞄准流,2,2,"导弹数量+2"
18,missile_track,"追踪导弹",,Navigation,,导弹-瞄准流,3,1,"导弹可追踪对手"
19,missile_side,"横向导弹",,ArrowRightLeft,,导弹-瞄准流,3,2,"追加2行横向导弹"
20,missile_aim,"瞄准导弹",,Target,,导弹-瞄准流,4,1,"发射4枚直接瞄准对手的导弹"
21,bullet_base,"弹幕",,Star,,弹幕-高能流,1,1,"每10秒向对手发射3条弹幕"
22,bullet_count,"弹幕数量+2",,Star,,弹幕-高能流,2,1,"弹幕数量+2"
23,bullet_speed,"弹幕移速-20%",,Timer,,弹幕-高能流,2,2,"弹幕移速-20%"
24,bullet_face,"表情互动",,Smile,,弹幕-高能流,3,1,"表情互动"
25,bullet_ultimate,"前方高能预警",,AlertTriangle,,弹幕-高能流,4,1,"发射席卷的「前方高能预警」弹幕"
26,cool_base,"爆弹冷却+20秒",,Snowflake,,cool,1,1,"对手爆弹冷却+20秒"
27,heal_base,"生命恢复-33%",,Heart,,heal,1,2,"对手生命值恢复效果-33%"
28,poison,"毒雾",,Skull,,poison,2,2,"对手治疗道具间歇转为毒性粉尘，拾取每秒流失10%血量"
29,enlarge_base,"放大战机",,Maximize2,,enlarge,1,1,"5秒内使对手战机放大70%，冷却5秒"
30,berserk_time,"暴走时间-1秒",,Zap,,berserk,2,2,"对手暴走时间-1秒"
31,hp_enemy_base,"敌机血量+15%",,Users,,hp_enemy,1,2,"对手的普通敌机血量+15%"
32,hp_boss,"BOSS血量+15%",,Skull,,hp_boss,2,3,"对手的BOSS血量+15%"
33,inferno,"炼狱魔神",,Flame,,炼狱-魔神流,4,1,"将对手的BOSS替换为炼狱魔神"
34,static_attack,"战机攻击-10%",,Swords,,静滞-打击流,2,3,"对手战机攻击-10%"
35,static_damage,"静止掉血",,Snowflake,,静滞-打击流,4,1,"对手静止不动时每秒流失10%的血量"
36,engine_attack,"僚机攻击-10%",,Plane,,引擎-过载流,2,3,"对手僚机攻击-10%"
37,move_damage,"移动掉血",,Activity,,引擎-过载流,4,1,"5秒内使对手移动期间每秒损失5%的血量，冷却5秒"
38,error_attack,"副武器攻击-10%",,Crosshair,,错误-进化流,2,3,"对手副武器攻击-10%"
39,error_damage,"暴走掉血",,Skull,,错误-进化流,4,1,"对手暴走时每秒流失7%血量"
40,dark_assault,"暗黑突击",,Moon,,暗黑-突击流,3,1,"对手每拾取5个暗黑水晶，生成1个小型暗黑突击"
41,dark_ultimate,"小型暗黑突击",,Ghost,,暗黑-突击流,4,1,"生成小型暗黑突击"
42,alone_shield,"量子护盾-1秒",,Shield,,孤立-无援流,2,2,"对手量子护盾时间-1秒"
43,alone_attack,"僚机攻击-10%",,Plane,,孤立-无援流,2,3,"对手僚机攻击-10%"
44,alone_ultimate,"孤立无援",,UserMinus,,孤立-无援流,4,1,"孤立无援状态"
45,magnetic_shield,"量子护盾-1秒",,Shield,,磁力-干扰流,2,2,"对手量子护盾时间-1秒"
46,magnetic_range,"拾取范围-70%",,Magnet,,磁力-干扰流,4,1,"对手拾取水晶的范围-70%"


=== 流派统计 ===
1. 陨石-彗星流: 7 个方程
2. 激光-生死流: 6 个方程
3. 导弹-瞄准流: 6 个方程
4. 弹幕-高能流: 5 个方程
5. 炼狱-魔神流: 6 个方程
6. 静滞-打击流: 6 个方程
7. 引擎-过载流: 6 个方程
8. 错误-进化流: 5 个方程
9. 暗黑-突击流: 8 个方程
10. 孤立-无援流: 7 个方程
11. 磁力-干扰流: 5 个方程

总计: 46 个方程
